Code,Name,Category,Tags
E74D,Delete,trash;remove;content,
E74E,Save,,
E74F,Mute,volume;sound,
E750,,duplicate,
E751,,duplicate,
E752,,duplicate,
E753,Cloud,weather,
E754,,duplicate,
E755,,duplicate,
E756,,duplicate,
E759,,duplicate,
E75A,,duplicate,
E75B,,duplicate,
E75C,,duplicate,
E75D,,duplicate,
E75E,,duplicate,
E75F,,duplicate,
E760,,duplicate,
E761,,duplicate,
E762,,duplicate,
E763,,duplicate,
E764,,duplicate,
E765,KeyboardClassic,,
E766,,duplicate,
E767,Volume,,
E768,Play,media;controls,
E769,Pause,media;controls,
E76B,,duplicate,
E76C,,duplicate,
E76D,,duplicate,
E76E,Emoji2,,
E76F,,duplicate,
E770,,duplicate,
E771,,duplicate;theme,
E772,,duplicate,
E773,,duplicate,
E774,Globe,world,
E775,,duplicate;region-settings,
E776,,duplicate,
E777,,duplicate,
E778,Hangup,phone,
E779,ContactInfo,account;information,
E77A,UnPin,pin,
E77B,Contact,account,
E77C,Memo,,
E77F,Paste,content,
E780,PhoneBook,phone;call,
E781,,duplicate;notification,
E783,,duplicate,
E784,,duplicate,
E785,,duplicate,
E786,Slideshow,,
E787,Calendar,date,
E788,,duplicate,
E789,,duplicate,
E78A,Trim,,
E78B,NewWindow,open;window,
E78C,SaveLocal,,
E78D,,duplicate,
E78E,,duplicate,
E78F,,duplicate,
E790,,duplicate,
E791,,duplicate,
E792,,duplicate,
E793,,duplicate,
E794,,duplicate,
E795,,duplicate,
E796,,duplicate,
E7A5,,duplicate,
E7A6,Redo,,
E7A7,Undo,,
E7A8,Crop,,
E7AC,OpenWith,,
E7AD,Rotate,rotate right,
E7B5,SetLockScreen,,
E7B7,,duplicate,
E7B8,,duplicate;box,
E7BA,,duplicate,
E7BE,,duplicate;cap;school,
E7C0,,duplicate;train-outline,
E7C1,Flag,,
E7C3,Page,document,
E7C4,,duplicate,
E7C5,BrowsePhotos,photos;search,
E7C6,HalfStarLeft,star,
E7C7,HalfStarRight,star,
E7C8,,duplicate,
E7C9,TouchPointer,,
E7DE,,duplicate,
E7E3,,duplicate;ferry-outline,
E7E6,Highlight,,
E7E7,,duplicate;comment,
E7E8,,duplicate,
E7E9,,duplicate,
E7EA,,duplicate,
E7EB,,duplicate,
E7EC,,duplicate,
E7ED,,duplicate,
E7EE,OtherUser,,
E7EF,Admin,sheild;textfield;textbox,
E7F0,CC,media;controls,
E7F1,,duplicate,
E7F2,,duplicate,
E7F3,,duplicate,
E7F4,,duplicate,
E7F5,,duplicate,
E7F6,,duplicate,
E7F7,,duplicate,
E7F8,,duplicate,
E7F9,,duplicate;monitor-left,
E7FA,,duplicate;monitor-right,
E7FB,,duplicate,
E7FC,,duplicate,
E7FD,,duplicate,
E802,,duplicate,
E803,,duplicate,
E804,,duplicate,
E805,,duplicate,
E806,,duplicate,
E809,,duplicate,
E80A,,duplicate,
E80C,,duplicate,
E80D,,duplicate,
E80F,Home,house,
E811,,duplicate,
E812,,duplicate,
E813,,duplicate,
E814,,duplicate,
E815,,duplicate,
E816,,duplicate,
E817,,language,
E818,,language,
E819,,duplicate,
E81A,,duplicate,
E81B,,duplicate,
E81C,,duplicate,
E81D,Location,gps,
E81E,,duplicate,
E81F,,duplicate,
E820,,language,
E821,,duplicate,
E822,,duplicate,
E823,,duplicate,
E824,,language,
E825,,duplicate;monument;government,
E826,,duplicate,
E827,,language,
E828,,language,
E829,,duplicate,
E82A,,duplicate,
E82B,,duplicate,
E82C,,duplicate,
E82D,,duplicate;report,
E82E,,duplicate;book-add;report-add,
E82F,,duplicate,
E830,ChromeBack,,
E831,,language,
E832,,language,
E833,,language,
E834,,language,
E835,,duplicate,
E836,,duplicate,
E837,,language,
E838,,language,
E839,,duplicate,
E83A,,duplicate,
E83B,,duplicate;computer-tower,
E83C,,duplicate,
E83D,,duplicate;brick;castle,
E83E,BatteryCharging9,,
E83F,Battery10,,
E840,,duplicate,
E841,,duplicate,
E842,,duplicate,
E844,,duplicate,
E845,,duplicate,
E846,,duplicate,
E847,,duplicate,
E84A,,duplicate,
E84B,,duplicate,
E84C,,duplicate,
E84D,,duplicate,
E84E,,duplicate,
E84F,,duplicate,
E850,Battery0,,
E851,Battery1,,
E852,Battery2,,
E853,Battery3,,
E854,Battery4,,
E855,Battery5,,
E856,Battery6,,
E857,Battery7,,
E858,Battery8,,
E859,Battery9,,
E85A,BatteryCharging0,,
E85B,BatteryCharging1,,
E85C,BatteryCharging2,,
E85D,BatteryCharging3,,
E85E,BatteryCharging4,,
E85F,BatteryCharging5,,
E860,BatteryCharging6,,
E861,BatteryCharging7,,
E862,BatteryCharging8,,
E863,BatterySaver0,,
E864,BatterySaver1,,
E865,BatterySaver2,,
E866,BatterySaver3,,
E867,BatterySaver4,,
E868,BatterySaver5,,
E869,BatterySaver6,,
E86A,BatterySaver7,,
E86B,BatterySaver8,,
E86C,,duplicate,
E86D,,duplicate,
E86E,,duplicate,
E86F,,duplicate,
E870,,duplicate,
E871,,duplicate,
E872,,duplicate,
E873,,duplicate,
E874,,duplicate,
E875,,duplicate,
E876,,duplicate,
E877,,duplicate,
E878,,duplicate,
E879,,duplicate,
E87A,,duplicate,
E87B,,duplicate,
E87C,,language,
E87D,,language,
E87E,,language,
E87F,,duplicate,
E880,,duplicate,
E881,,duplicate,
