Code,Name,Category,Tags
f236,Bed,Humanitarian,hospital;hotel;lodging;mattress;patient;person in bed;rest;sleep;travel;uer
f236,Bed,Maps,hospital;hotel;lodging;mattress;patient;person in bed;rest;sleep;travel;uer
f236,Bed,Travel + Hotel,hospital;hotel;lodging;mattress;patient;person in bed;rest;sleep;travel;uer
f236,Bed,Users + People,hospital;hotel;lodging;mattress;patient;person in bed;rest;sleep;travel;uer
f487,Bed Pulse,Medical + Health,EKG;bed;electrocardiogram;health;hospital;life;patient;vital
f0fc,Beer Mug Empty,Food + Beverage,alcohol;ale;bar;beverage;brew;brewery;drink;foam;lager;liquor;mug;stein
f0fc,Beer Mug Empty,Maps,alcohol;ale;bar;beverage;brew;brewery;drink;foam;lager;liquor;mug;stein
f0f3,Bell,Alert,alarm;alert;bel;bell;chime;notification;reminder;request
f0f3,Bell,Education,alarm;alert;bel;bell;chime;notification;reminder;request
f0f3,Bell,Household,alarm;alert;bel;bell;chime;notification;reminder;request
f0f3,Bell,Maps,alarm;alert;bel;bell;chime;notification;reminder;request
f0f3,Bell,Shopping,alarm;alert;bel;bell;chime;notification;reminder;request
f0f3,Bell,Social,alarm;alert;bel;bell;chime;notification;reminder;request
f0f3,Bell,Time,alarm;alert;bel;bell;chime;notification;reminder;request
f562,Bell Concierge,Travel + Hotel,attention;bell;bellhop;bellhop bell;hotel;receptionist;request;service;support
f1f6,Bell Slash,Alert,alert;bell;bell with slash;cancel;disabled;forbidden;mute;notification;off;quiet;reminder;silent
f1f6,Bell Slash,Education,alert;bell;bell with slash;cancel;disabled;forbidden;mute;notification;off;quiet;reminder;silent
f1f6,Bell Slash,Maps,alert;bell;bell with slash;cancel;disabled;forbidden;mute;notification;off;quiet;reminder;silent
f1f6,Bell Slash,Time,alert;bell;bell with slash;cancel;disabled;forbidden;mute;notification;off;quiet;reminder;silent
f55b,Bezier Curve,Design,curves;illustrator;lines;path;vector
f206,Bicycle,Maps,bicycle;bike;gears;pedal;transportation;vehicle
f206,Bicycle,Sports + Fitness,bicycle;bike;gears;pedal;transportation;vehicle
f206,Bicycle,Transportation,bicycle;bike;gears;pedal;transportation;vehicle
f1e5,Binoculars,Astronomy,glasses;inspection;magnifier;magnify;scenic;spyglass;view
f1e5,Binoculars,Camping,glasses;inspection;magnifier;magnify;scenic;spyglass;view
f1e5,Binoculars,Maps,glasses;inspection;magnifier;magnify;scenic;spyglass;view
f1e5,Binoculars,Nature,glasses;inspection;magnifier;magnify;scenic;spyglass;view
f780,Biohazard,Disaster + Crisis,biohazard;covid-19;danger;dangerous;epidemic;hazmat;medical;pandemic;radioactive;sign;toxic;waste;zombie
f780,Biohazard,Humanitarian,biohazard;covid-19;danger;dangerous;epidemic;hazmat;medical;pandemic;radioactive;sign;toxic;waste;zombie
f780,Biohazard,Medical + Health,biohazard;covid-19;danger;dangerous;epidemic;hazmat;medical;pandemic;radioactive;sign;toxic;waste;zombie
f780,Biohazard,Science,biohazard;covid-19;danger;dangerous;epidemic;hazmat;medical;pandemic;radioactive;sign;toxic;waste;zombie
e0b4,Bitcoin Sign,Money,Bitcoin Sign;currency
f517,Blender,Food + Beverage,cocktail;milkshake;mixer;puree;smoothie
f517,Blender,Household,cocktail;milkshake;mixer;puree;smoothie
f6b6,Blender Phone,Communication,appliance;cocktail;fantasy;milkshake;mixer;puree;silly;smoothie
f6b6,Blender Phone,Devices + Hardware,appliance;cocktail;fantasy;milkshake;mixer;puree;silly;smoothie
f781,Blog,Writing,journal;log;online;personal;post;web 2.0;wordpress;writing
f032,Bold,Text Formatting,emphasis;format;text
f0e7,Bolt,Energy,charge;danger;electric;electricity;flash;high voltage;lightning;voltage;weather;zap
f0e7,Bolt,Photos + Images,charge;danger;electric;electricity;flash;high voltage;lightning;voltage;weather;zap
f0e7,Bolt,Weather,charge;danger;electric;electricity;flash;high voltage;lightning;voltage;weather;zap
e0b7,Bolt Lightning,Photos + Images,electricity;flash;lightning;weather;zap
e0b7,Bolt Lightning,Weather,electricity;flash;lightning;weather;zap
f1e2,Bomb,Maps,bomb;comic;error;explode;fuse;grenade;warning
f5d7,Bone,Food + Beverage,bone;calcium;dog;skeletal;skeleton;tibia
f5d7,Bone,Medical + Health,bone;calcium;dog;skeletal;skeleton;tibia
f55c,Bong,Medical + Health,aparatus;cannabis;marijuana;pipe;smoke;smoking
f02d,Book,Business,book;cover;decorated;diary;documentation;journal;knowledge;library;notebook;notebook with decorative cover;read;research;scholar
f02d,Book,Maps,book;cover;decorated;diary;documentation;journal;knowledge;library;notebook;notebook with decorative cover;read;research;scholar
f02d,Book,Writing,book;cover;decorated;diary;documentation;journal;knowledge;library;notebook;notebook with decorative cover;read;research;scholar
f558,Book Atlas,Maps,book;directions;geography;globe;knowledge;library;map;research;travel;wayfinding
f558,Book Atlas,Travel + Hotel,book;directions;geography;globe;knowledge;library;map;research;travel;wayfinding
f647,Book Bible,Religion,book;catholicism;christianity;god;holy
e0bb,Book Bookmark,Humanitarian,knowledge;library;research
e0bb,Book Bookmark,Writing,knowledge;library;research
f66a,Book Journal Whills,Religion,book;force;jedi;sith;star wars;yoda
f66a,Book Journal Whills,Science Fiction,book;force;jedi;sith;star wars;yoda
f7e6,Book Medical,Medical + Health,diary;documentation;health;history;journal;library;read;record;research
f518,Book Open,Education,Book;book;flyer;knowledge;library;notebook;open;open book;pamphlet;reading;research
f5da,Book Open Reader,Education,flyer;library;notebook;open book;pamphlet;reading;research
f687,Book Quran,Religion,book;islam;muslim;religion
f6b7,Book Skull,Gaming,Dungeons & Dragons;crossbones;d&d;dark arts;death;dnd;documentation;evil;fantasy;halloween;holiday;library;necronomicon;read;research;skull;spell
f6b7,Book Skull,Halloween,Dungeons & Dragons;crossbones;d&d;dark arts;death;dnd;documentation;evil;fantasy;halloween;holiday;library;necronomicon;read;research;skull;spell
f827,Book Tanakh,Religion,book;jewish;judaism;religion
f02e,Bookmark,Maps,bookmark;favorite;library;mark;marker;read;remember;research;save
f02e,Bookmark,Shapes,bookmark;favorite;library;mark;marker;read;remember;research;save
f02e,Bookmark,Shopping,bookmark;favorite;library;mark;marker;read;remember;research;save
f02e,Bookmark,Writing,bookmark;favorite;library;mark;marker;read;remember;research;save
f84c,Border All,Text Formatting,cell;grid;outline;stroke;table
f850,Border None,Text Formatting,cell;grid;outline;stroke;table
f853,Border Top Left,Text Formatting,cell;outline;stroke;table
e4c3,Bore Hole,Construction,bore;bury;drill;hole
e4c3,Bore Hole,Humanitarian,bore;bury;drill;hole
e4c4,Bottle Droplet,Food + Beverage,alcohol;drink;oil;olive oil;wine
e4c4,Bottle Droplet,Humanitarian,alcohol;drink;oil;olive oil;wine
e4c5,Bottle Water,Camping,h2o;plastic;water
